2021-02-04 09:34:11.714 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [am.gitc.spring_exp.controllers.UserControllerTest], using SpringBootContextLoader
2021-02-04 09:34:19.065 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 185 ms. Found 0 JPA repository interfaces.
2021-02-04 09:34:19.176 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-04 09:34:19.177 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2021-02-04 09:34:19.253 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 74 ms. Found 1 MongoDB repository interfaces.
2021-02-04 09:34:22.902 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-02-04 09:34:23.144 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.27.Final
2021-02-04 09:34:23.234 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-02-04 09:34:23.664 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-02-04 09:34:27.167 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-02-04 09:34:27.633 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-02-04 09:34:29.776 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-02-04 09:34:29.817 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 09:34:32.079 INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-04 09:34:34.186 INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2021-02-04 09:34:34.718 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:322}] to localhost:27017
2021-02-04 09:34:34.727 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=334641900}
2021-02-04 09:34:34.729 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:323}] to localhost:27017
2021-02-04 09:34:36.547 INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2021-02-04 09:34:36.548 INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2021-02-04 09:34:36.549 INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2021-02-04 09:34:36.692 INFO  a.g.s.controllers.UserControllerTest - Started UserControllerTest in 22.619 seconds (JVM running for 29.249)
2021-02-04 09:34:38.249 INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-02-04 09:34:38.250 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 09:34:38.254 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-02-04 09:34:38.362 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-02-04 09:46:42.115 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [am.gitc.spring_exp.controllers.UserControllerTest], using SpringBootContextLoader
2021-02-04 09:46:42.132 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [am.gitc.spring_exp.controllers.UserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-02-04 09:46:42.135 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [am.gitc.spring_exp.controllers.UserControllerTest]: UserControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-02-04 09:46:42.590 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration am.gitc.spring_exp.SpringExpApplication for test class am.gitc.spring_exp.controllers.UserControllerTest
2021-02-04 09:46:42.954 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2021-02-04 09:46:43.009 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@77d2e85, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ecd267f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@58ffcbd7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@555cf22, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6bb2d00b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3c9bfddc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1a9c38eb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@319bc845, org.springframework.test.context.event.EventPublishingTestExecutionListener@4c5474f5, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@2f4205be, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@54e22bdd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3bd418e4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@544820b7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6b98a075, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2e61d218, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3569fc08, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@20b12f8a]
2021-02-04 09:46:43.683 INFO  a.g.s.controllers.UserControllerTest - Starting UserControllerTest using Java 14.0.1 on DESKTOP-HV98VPO with PID 243804 (started by Arthur in C:\Users\Arthur\Desktop\spring_exp)
2021-02-04 09:46:43.693 INFO  a.g.s.controllers.UserControllerTest - No active profile set, falling back to default profiles: default
2021-02-04 09:46:45.375 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-04 09:46:45.380 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-02-04 09:46:45.466 INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface am.gitc.spring_exp.repositories.UserRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2021-02-04 09:46:45.468 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 0 JPA repository interfaces.
2021-02-04 09:46:45.554 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-04 09:46:45.555 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2021-02-04 09:46:45.666 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100 ms. Found 1 MongoDB repository interfaces.
2021-02-04 09:46:48.431 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-02-04 09:46:48.750 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.27.Final
2021-02-04 09:46:49.020 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-02-04 09:46:49.400 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-02-04 09:46:50.684 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-02-04 09:46:50.762 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-02-04 09:46:52.118 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-02-04 09:46:52.130 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 09:46:53.750 INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-04 09:46:54.879 INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2021-02-04 09:46:55.011 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:325}] to localhost:27017
2021-02-04 09:46:55.011 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:324}] to localhost:27017
2021-02-04 09:46:55.017 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=62311100}
2021-02-04 09:46:56.463 INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2021-02-04 09:46:56.463 INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2021-02-04 09:46:56.464 INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2021-02-04 09:46:56.522 INFO  a.g.s.controllers.UserControllerTest - Started UserControllerTest in 13.413 seconds (JVM running for 16.758)
2021-02-04 09:46:58.133 INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-02-04 09:46:58.135 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 09:46:58.152 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-02-04 09:46:58.204 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-02-04 09:55:36.016 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [am.gitc.spring_exp.SpringExpApplicationTests], using SpringBootContextLoader
2021-02-04 09:55:36.034 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [am.gitc.spring_exp.SpringExpApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-02-04 09:55:36.036 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [am.gitc.spring_exp.SpringExpApplicationTests]: SpringExpApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-02-04 09:55:36.386 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration am.gitc.spring_exp.SpringExpApplication for test class am.gitc.spring_exp.SpringExpApplicationTests
2021-02-04 09:55:36.639 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2021-02-04 09:55:36.698 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@767e20cf, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3a3e78f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@301ec38b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@17a1e4ca, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@10ded6a9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@c5dc4a2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4a194c39, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@52066604, org.springframework.test.context.event.EventPublishingTestExecutionListener@340b9973, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@56113384, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5669c5fb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@373ebf74, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5f9678e1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@c4ed84, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@189aa67a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5a9d6f02, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@362045c0]
2021-02-04 09:55:37.432 INFO  a.g.s.SpringExpApplicationTests - Starting SpringExpApplicationTests using Java 14.0.1 on DESKTOP-HV98VPO with PID 230980 (started by Arthur in C:\Users\Arthur\Desktop\spring_exp)
2021-02-04 09:55:37.441 INFO  a.g.s.SpringExpApplicationTests - No active profile set, falling back to default profiles: default
2021-02-04 09:55:38.909 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-04 09:55:38.913 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-02-04 09:55:38.981 INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface am.gitc.spring_exp.repositories.UserRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2021-02-04 09:55:38.983 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55 ms. Found 0 JPA repository interfaces.
2021-02-04 09:55:39.038 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-04 09:55:39.040 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2021-02-04 09:55:39.088 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 1 MongoDB repository interfaces.
2021-02-04 09:55:40.589 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-02-04 09:55:40.673 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.27.Final
2021-02-04 09:55:40.940 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-02-04 09:55:41.202 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-02-04 09:55:41.748 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-02-04 09:55:41.775 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-02-04 09:55:42.741 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-02-04 09:55:42.756 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 09:55:43.241 INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2021-02-04 09:55:43.386 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:327}] to localhost:27017
2021-02-04 09:55:43.386 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:326}] to localhost:27017
2021-02-04 09:55:43.390 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=43570999}
2021-02-04 09:55:45.705 INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-04 09:55:46.872 INFO  a.g.s.SpringExpApplicationTests - Started SpringExpApplicationTests in 10.075 seconds (JVM running for 12.958)
2021-02-04 09:55:47.665 INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-02-04 09:55:47.671 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 09:55:47.675 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-02-04 09:55:47.711 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-02-04 10:14:56.440 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [am.gitc.spring_exp.services.Impl.UserServiceImplTest], using SpringBootContextLoader
2021-02-04 10:14:56.455 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [am.gitc.spring_exp.services.Impl.UserServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-02-04 10:14:56.457 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [am.gitc.spring_exp.services.Impl.UserServiceImplTest]: UserServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-02-04 10:14:56.965 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration am.gitc.spring_exp.SpringExpApplication for test class am.gitc.spring_exp.services.Impl.UserServiceImplTest
2021-02-04 10:14:57.269 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
